model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,5_has_all,32,8,0.5454545454545454,0.8549618320610687,0.5303030303030303
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.7272727272727273,1.0,0.7272727272727273
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,0,1.0,0.5,0.5
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,4,0.0,0.7027027027027027,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,4_has_union,43,2,0.8764940239043825,0.8809523809523809,0.811023622047244
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,5_has_all,22,8,0.5866666666666667,0.8266666666666667,0.56
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.7142857142857143,1.0,0.7142857142857143
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,0,1.0,0.28571428571428575,0.28571428571428575
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,0,0.0,0.875,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,4_has_union,42,1,0.7715355805243446,0.7657992565055762,0.6840148698884758
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,5_has_all,20,0,0.9166666666666667,0.9041095890410958,0.8767123287671232
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,2,0.6666666666666667,0.7272727272727273,0.6363636363636364
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.5714285714285714,0.42857142857142855,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,1,0.0,0.7692307692307692,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,4_has_union,40,4,0.5943775100401607,0.7148594377510039,0.4901185770750988
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,5_has_all,32,2,0.6106870229007634,0.8484848484848485,0.5522388059701493
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.7272727272727273,1.0,0.7272727272727273
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,1.0,0.5,0.5
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,2,0.0,0.8571428571428571,0.0
