backbone,model,category,count,f1_result,f1_provenance,f1_both,model_label,family
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_sft_lora_chat_template_nl_ep1,4_has_union,125.0,0.12151898734177215,0.7281795511221945,0.11940298507462686,SFT (NL) ep1,SFT
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_sft_lora_chat_template_nl_ep1,5_has_all,74.0,0.05847953216374269,0.7810650887573964,0.05813953488372093,SFT (NL) ep1,SFT
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_sft_lora_chat_template_nl_ep2,1_easy_no_join,13.0,0.38961038961038963,0.8974358974358975,0.38461538461538464,SFT (NL) ep2,SFT
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_sft_lora_chat_template_nl_ep2,2_medium_join,6.0,0.0,0.14285714285714285,0.0,SFT (NL) ep2,SFT
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_sft_lora_chat_template_nl_ep2,3_has_aggr,23.0,0.0,0.9354838709677419,0.0,SFT (NL) ep2,SFT
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_sft_lora_chat_template_nl_ep2,4_has_union,125.0,0.096514745308311,0.8225806451612903,0.09018567639257294,SFT (NL) ep2,SFT
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_sft_lora_chat_template_nl_ep2,5_has_all,74.0,0.16853932584269662,0.770949720670391,0.12222222222222222,SFT (NL) ep2,SFT
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,1_easy_no_join,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,2_medium_join,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,3_has_aggr,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,4_has_union,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,5_has_all,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,1_easy_no_join,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,2_medium_join,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,3_has_aggr,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,4_has_union,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,5_has_all,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,1_easy_no_join,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,2_medium_join,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,3_has_aggr,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,4_has_union,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,5_has_all,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,Other
gemma-7b_nl,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,1_easy_no_join,,,,,ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,Other
