backbone,model,category,count,f1_result,f1_provenance,f1_both,model_label,family,val,best_run_label,plot_label
gemma-7b_nl,base/nl,1_easy_no_join,13.0,0.23684210526315788,0.9610389610389611,0.2077922077922078,Base (NL),Base,0.23684210526315788,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,base/nl,2_medium_join,6.0,0.0,0.0,0.0,Base (NL),Base,0.0,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,base/nl,3_has_aggr,23.0,0.0,0.6666666666666667,0.0,Base (NL),Base,0.0,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,base/nl,4_has_union,125.0,0.07628524046434494,0.6721311475409836,0.07201309328968904,Base (NL),Base,0.07628524046434494,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,base/nl,5_has_all,74.0,0.10256410256410256,0.6739130434782609,0.07220216606498195,Base (NL),Base,0.10256410256410256,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,1_easy_no_join,13.0,0.23684210526315788,0.9610389610389611,0.2077922077922078,DPO (NL) ep1 SFT ep1,DPO,0.23684210526315788,DPO (NL) ep1 SFT ep1,gemma-7b_nl: best_DPO (DPO (NL) ep1 SFT ep1)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,2_medium_join,6.0,0.0,0.0,0.0,DPO (NL) ep1 SFT ep1,DPO,0.0,DPO (NL) ep1 SFT ep1,gemma-7b_nl: best_DPO (DPO (NL) ep1 SFT ep1)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,3_has_aggr,23.0,0.0,0.6823529411764706,0.0,DPO (NL) ep1 SFT ep1,DPO,0.0,DPO (NL) ep1 SFT ep1,gemma-7b_nl: best_DPO (DPO (NL) ep1 SFT ep1)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,4_has_union,125.0,0.07017543859649121,0.6613924050632911,0.06635071090047394,DPO (NL) ep1 SFT ep1,DPO,0.07017543859649121,DPO (NL) ep1 SFT ep1,gemma-7b_nl: best_DPO (DPO (NL) ep1 SFT ep1)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,5_has_all,74.0,0.1056338028169014,0.7482517482517483,0.07665505226480837,DPO (NL) ep2 SFT ep1,DPO,0.1056338028169014,DPO (NL) ep2 SFT ep1,gemma-7b_nl: best_DPO (DPO (NL) ep2 SFT ep1)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_sft_lora_chat_template_nl_ep2,1_easy_no_join,13.0,0.38961038961038963,0.8974358974358975,0.38461538461538464,SFT (NL) ep2,SFT,0.38961038961038963,SFT (NL) ep2,gemma-7b_nl: best_SFT (SFT (NL) ep2)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_sft_lora_chat_template_nl_ep1,2_medium_join,6.0,0.0,0.0,0.0,SFT (NL) ep1,SFT,0.0,SFT (NL) ep1,gemma-7b_nl: best_SFT (SFT (NL) ep1)
