backbone,model,category,count,f1_result,f1_provenance,f1_both,model_label,family,val,best_run_label,plot_label
gemma-7b_sql,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,2_medium_join,6.0,0.0909090909090909,0.0,0.0,DPO (SQL) ep1 SFT ep1,DPO,0.0,DPO (SQL) ep1 SFT ep1,gemma-7b_sql: best_DPO (DPO (SQL) ep1 SFT ep1)
gemma-7b_sql,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,3_has_aggr,23.0,0.0,0.7659574468085105,0.0,DPO (SQL) ep2 SFT ep2,DPO,0.7659574468085105,DPO (SQL) ep2 SFT ep2,gemma-7b_sql: best_DPO (DPO (SQL) ep2 SFT ep2)
gemma-7b_sql,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,4_has_union,125.0,0.624793388429752,0.778877887788779,0.5634266886326195,DPO (SQL) ep2 SFT ep2,DPO,0.778877887788779,DPO (SQL) ep2 SFT ep2,gemma-7b_sql: best_DPO (DPO (SQL) ep2 SFT ep2)
gemma-7b_sql,ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,5_has_all,74.0,0.5454545454545454,0.7681159420289855,0.4115523465703972,DPO (SQL) ep2 SFT ep2,DPO,0.7681159420289855,DPO (SQL) ep2 SFT ep2,gemma-7b_sql: best_DPO (DPO (SQL) ep2 SFT ep2)
gemma-7b_sql,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,1_easy_no_join,13.0,0.8571428571428572,1.0,0.8399999999999999,SFT (SQL) ep1,SFT,1.0,SFT (SQL) ep1,gemma-7b_sql: best_SFT (SFT (SQL) ep1)
gemma-7b_sql,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,2_medium_join,6.0,0.25,0.0,0.0,SFT (SQL) ep1,SFT,0.0,SFT (SQL) ep1,gemma-7b_sql: best_SFT (SFT (SQL) ep1)
gemma-7b_sql,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,3_has_aggr,23.0,0.0,0.8333333333333334,0.0,SFT (SQL) ep1,SFT,0.8333333333333334,SFT (SQL) ep1,gemma-7b_sql: best_SFT (SFT (SQL) ep1)
gemma-7b_sql,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,4_has_union,125.0,0.5036496350364964,0.7765567765567766,0.4565217391304348,SFT (SQL) ep1,SFT,0.7765567765567766,SFT (SQL) ep1,gemma-7b_sql: best_SFT (SFT (SQL) ep1)
gemma-7b_sql,ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,5_has_all,74.0,0.6909090909090909,0.8867924528301887,0.6306306306306306,SFT (SQL) ep1,SFT,0.8867924528301887,SFT (SQL) ep1,gemma-7b_sql: best_SFT (SFT (SQL) ep1)
llama3-8b_nl,base/nl,1_easy_no_join,13.0,0.3013698630136986,0.9189189189189189,0.27027027027027023,Base (NL),Base,0.9189189189189189,Base (NL),llama3-8b_nl: Base
llama3-8b_nl,base/nl,2_medium_join,6.0,0.0,0.3703703703703704,0.0,Base (NL),Base,0.3703703703703704,Base (NL),llama3-8b_nl: Base
llama3-8b_nl,base/nl,3_has_aggr,23.0,0.0,0.5454545454545454,0.0,Base (NL),Base,0.5454545454545454,Base (NL),llama3-8b_nl: Base
llama3-8b_nl,base/nl,4_has_union,125.0,0.17004048582995954,0.6118598382749326,0.1320754716981132,Base (NL),Base,0.6118598382749326,Base (NL),llama3-8b_nl: Base
llama3-8b_nl,base/nl,5_has_all,74.0,0.2204724409448819,0.5076923076923077,0.13076923076923078,Base (NL),Base,0.5076923076923077,Base (NL),llama3-8b_nl: Base
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,1_easy_no_join,13.0,0.3684210526315789,0.9610389610389611,0.33766233766233766,DPO (NL) ep1 SFT ep1,DPO,0.9610389610389611,DPO (NL) ep1 SFT ep1,llama3-8b_nl: best_DPO (DPO (NL) ep1 SFT ep1)
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,2_medium_join,6.0,0.1,0.7499999999999999,0.25,DPO (NL) ep1 SFT ep2,DPO,0.7499999999999999,DPO (NL) ep1 SFT ep2,llama3-8b_nl: best_DPO (DPO (NL) ep1 SFT ep2)
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,3_has_aggr,23.0,0.0,0.631578947368421,0.0,DPO (NL) ep2 SFT ep1,DPO,0.631578947368421,DPO (NL) ep2 SFT ep1,llama3-8b_nl: best_DPO (DPO (NL) ep2 SFT ep1)
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,4_has_union,125.0,0.2085048010973937,0.7619047619047619,0.19918144611186905,DPO (NL) ep2 SFT ep1,DPO,0.7619047619047619,DPO (NL) ep2 SFT ep1,llama3-8b_nl: best_DPO (DPO (NL) ep2 SFT ep1)
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,5_has_all,74.0,0.20377358490566036,0.7224334600760457,0.1811320754716981,DPO (NL) ep2 SFT ep1,DPO,0.7224334600760457,DPO (NL) ep2 SFT ep1,llama3-8b_nl: best_DPO (DPO (NL) ep2 SFT ep1)
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,1_easy_no_join,13.0,0.32,0.9473684210526315,0.2894736842105264,SFT (NL) ep1,SFT,0.9473684210526315,SFT (NL) ep1,llama3-8b_nl: best_SFT (SFT (NL) ep1)
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,2_medium_join,6.0,0.08,0.5,0.0,SFT (NL) ep2,SFT,0.5,SFT (NL) ep2,llama3-8b_nl: best_SFT (SFT (NL) ep2)
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,3_has_aggr,23.0,0.0,0.6930693069306931,0.0,SFT (NL) ep1,SFT,0.6930693069306931,SFT (NL) ep1,llama3-8b_nl: best_SFT (SFT (NL) ep1)
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,4_has_union,125.0,0.16621983914209115,0.6559571619812584,0.1499330655957162,SFT (NL) ep2,SFT,0.6559571619812584,SFT (NL) ep2,llama3-8b_nl: best_SFT (SFT (NL) ep2)
llama3-8b_nl,ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,5_has_all,74.0,0.19424460431654675,0.7028985507246377,0.1366906474820144,SFT (NL) ep2,SFT,0.7028985507246377,SFT (NL) ep2,llama3-8b_nl: best_SFT (SFT (NL) ep2)
