model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,5_has_all,32,6,0.4925373134328358,0.8091603053435115,0.3851851851851852
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,1.0,1.0,1.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,0,1.0,0.0,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,2,0.0,0.9090909090909091,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,4_has_union,43,3,0.8674698795180722,0.8925619834710744,0.8032128514056225
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,5_has_all,22,7,0.6216216216216216,0.8648648648648648,0.5945945945945946
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,0,1.0,0.2,0.2
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,1,0.0,0.8387096774193549,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,4_has_union,42,3,0.7490347490347491,0.7888446215139443,0.676923076923077
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,5_has_all,20,6,0.7419354838709677,0.6000000000000001,0.5806451612903226
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.9230769230769231,0.6666666666666666,0.5185185185185186
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,1.0,0.5454545454545454,0.42857142857142855
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,1,0.0,0.7692307692307692,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,4_has_union,40,5,0.5772357723577236,0.5454545454545455,0.44176706827309237
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,5_has_all,32,6,0.47619047619047616,0.5254237288135593,0.25
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.7272727272727273,0.7368421052631579,0.36363636363636365
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.25,0.0,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,1,0.0,0.8444444444444444,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,4_has_union,43,3,0.8755020080321285,0.859504132231405,0.7710843373493976
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,5_has_all,22,2,0.7948717948717949,0.8157894736842106,0.6153846153846154
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,1,0.6666666666666666,0.8571428571428571,0.8571428571428571
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,1,0.0,0.7058823529411765,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,4_has_union,42,5,0.753731343283582,0.8091603053435115,0.6838235294117647
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,5_has_all,20,6,0.8695652173913043,0.8695652173913043,0.8695652173913043
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.9230769230769231,0.888888888888889,0.8148148148148148
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,0,1.0,0.27272727272727276,0.27272727272727276
